p[1].UID,p[1].isLeader,p[1].state,p[1].elected,p[2].UID,p[2].isLeader,p[2].state,p[2].elected,p[3].UID,p[3].isLeader,p[3].state,p[3].elected,p[4].UID,p[4].isLeader,p[4].state,p[4].elected,p[5].UID,p[5].isLeader,p[5].state,p[5].elected,p[6].UID,p[6].isLeader,p[6].state,p[6].elected,channel[1].mtype,channel[1].elected,channel[2].mtype,channel[2].elected,channel[3].mtype,channel[3].elected,channel[4].mtype,channel[4].elected,channel[5].mtype,channel[5].elected,channel[6].mtype,channel[6].elected,hasLeader,leaderUID,election_done
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,RECV_ELEC,1,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,SEND_ELECT,2,RECV_ELEC,2,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,3,RECV_ELEC,3,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,4,RECV_ELEC,4,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,5,RECV_ELEC,5,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,PARTICIPANT,Undefined,RECV_ELEC,6,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,6,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,SEND_ELECT,2,RECV_ELEC,2,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,RECV_ELEC,1,SEND_ELECT,3,RECV_ELEC,3,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,RECV_ELEC,1,EMPTY,Undefined,SEND_ELECT,4,RECV_ELEC,4,EMPTY,Undefined,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,RECV_ELEC,1,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,5,RECV_ELEC,5,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,PARTICIPANT,Undefined,RECV_ELEC,6,RECV_ELEC,1,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,6,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,SEND_ELECT,2,SEND_ELECT,3,RECV_ELEC,3,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,SEND_ELECT,1,RECV_ELEC,1,RECV_ELEC,2,EMPTY,Undefined,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,SEND_ELECT,2,RECV_ELEC,2,SEND_ELECT,4,RECV_ELEC,4,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,SEND_ELECT,2,RECV_ELEC,2,EMPTY,Undefined,SEND_ELECT,5,RECV_ELEC,5,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,NON_PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,PARTICIPANT,Undefined,RECV_ELEC,6,SEND_ELECT,2,RECV_ELEC,2,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,6,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,NON_PARTICIPANT,Undefined,3,false,PARTICIPANT,Undefined,4,false,PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,EMPTY,Undefined,SEND_ELECT,3,SEND_ELECT,4,RECV_ELEC,4,EMPTY,Undefined,false,Undefined,false
1,false,NON_PARTICIPANT,Undefined,2,false,PARTICIPANT,Undefined,3,false,PARTICIPANT,Undefined,4,false,NON_PARTICIPANT,Undefined,5,false,NON_PARTICIPANT,Undefined,6,false,NON_PARTICIPANT,Undefined,EMPTY,Undefined,SEND_ELECT,2,RECV_ELEC,2,RECV_ELEC,3,EMPTY,Undefined,EMPTY,Undefined,false,Undefined,false
